Symbol,Trades,Buy_Trades,Sell_Trades,Invested,Total_Value,Profit_Loss,Return_Pct
AAPL,22,10,12,100.0,117.04,17.04,17.04
MSFT,22,10,12,100.0,116.92,16.92,16.92
GOOGL,20,9,11,90.0,105.91,15.91,17.67
AMZN,18,14,4,140.0,179.69,39.69,28.35
NVDA,26,10,16,100.0,159.74,59.74,59.74
META,16,12,4,120.0,137.56,17.56,14.63
TSLA,32,13,19,130.0,187.23,57.23,44.03
V,5,4,1,40.0,41.82,1.82,4.55
UNH,25,18,7,180.0,194.55,14.55,8.08
XOM,5,2,3,20.0,23.07,3.07,15.33
JNJ,3,1,2,10.0,11.34,1.34,13.4
JPM,8,3,5,30.0,43.08,13.08,43.61
WMT,5,2,3,20.0,24.48,4.48,22.41
MA,8,7,1,70.0,76.32,6.32,9.03
PG,9,9,0,90.0,87.69,-2.31,-2.57
LLY,15,6,9,60.0,81.13,21.13,35.22
AVGO,18,7,11,70.0,105.3,35.3,50.43
HD,21,10,11,100.0,111.48,11.48,11.48
CVX,14,9,5,90.0,104.22,14.22,15.8
MRK,20,14,6,140.0,152.31,12.31,8.79
ABBV,0,0,0,0.0,0.0,0.0,0.0
COST,10,10,0,100.0,99.0,-1.0,-1.0
ADBE,21,21,0,210.0,193.54,-16.46,-7.84
PEP,28,13,15,130.0,145.01,15.01,11.55
TMO,17,8,9,80.0,86.1,6.1,7.63
MCD,11,8,3,80.0,84.81,4.81,6.01
CSCO,12,5,7,50.0,65.95,15.95,31.89
NFLX,9,9,0,90.0,90.27,0.27,0.3
ABT,14,14,0,140.0,142.08,2.08,1.49
ACN,20,20,0,200.0,179.72,-20.28,-10.14
DHR,18,11,7,110.0,122.09,12.09,10.99
VZ,19,14,5,140.0,144.27,4.27,3.05
WFC,11,6,5,60.0,82.96,22.96,38.26
DIS,20,20,0,200.0,237.63,37.63,18.82
LIN,23,21,2,210.0,203.81,-6.19,-2.95
NKE,40,30,10,300.0,315.75,15.75,5.25
PM,9,9,0,90.0,91.59,1.59,1.76
TXN,14,14,0,140.0,149.57,9.57,6.84
NEE,7,3,4,30.0,36.56,6.56,21.85
CMCSA,19,17,2,170.0,156.19,-13.81,-8.12
HON,11,10,1,100.0,106.02,6.02,6.02
RTX,5,2,3,20.0,25.51,5.51,27.55
UPS,25,15,10,150.0,165.68,15.68,10.45
QCOM,12,5,7,50.0,67.75,17.75,35.5
AMGN,7,3,4,30.0,35.88,5.88,19.59
BMY,20,18,2,180.0,181.05,1.05,0.58
T,9,9,0,90.0,87.8,-2.2,-2.45
LOW,22,10,12,100.0,112.26,12.26,12.26
SPGI,25,18,7,180.0,194.05,14.05,7.81
INTU,19,14,5,140.0,143.8,3.8,2.72
